Era,Validator,EraPoints,TotalStake,OwnStake,NominatedStake,NomCount,PageCount,CommissionRate,Blocked,CommissionEarned,OwnReward,TotalReward
24,5CB47Yd6wEgs2Q2rZoVw7YHE9khNVo4hM7HgH3AjUmjVHwvB,820,108569.63276701979214618,108569.63276701979214618,0E-17,0,0,0.02,False,52.9238182066382046113487766458,2593.26709212527197087117612681,2646.19091033191017548252490346
24,5DnhW5G31b8pCPpHrFHtrKNt437ucgA7CfNttY8J94vLZ1Aq,920,108490.67292932908073682,108490.67292932908073682,0E-17,0,0,0.05,False,148.444855945448629600696149377,2820.45226296352379760632988035,2968.89711890897242720702602973
24,5E2c4Wj7aeE4ENFGr8RBLz81yQzNyuzF8ZvnyWY9Y6Ps7BMk,740,107454.99801714180544956,107454.99801714180544956,0E-17,0,0,0.05,False,119.401297173513010900330448133,2268.62464629674707454420922239,2388.02594347026008544453967052
24,5Ev679fh7JWAmNb6kHD1nKHefxVh5bQAm1CVBNYFvtZGQkbR,820,107038.0244232513567609,107038.0244232513567609,0E-16,0,0,0.1,False,264.619091033191032237562871367,2381.57181929871914324496203209,2646.19091033191017548252490346
24,5Hn9y8YUvDfWiNnmre34AXP2kj2p2sKSULBTqLbgD3TvnpwQ,820,106306.51550102954396274,106306.51550102954396274,0E-17,0,0,0.11,False,291.081000136510120772008777483,2355.10991019540005471051612598,2646.19091033191017548252490346
24,5GwzofkQvz6dtrEfHpoxN9jzpEj39RJehmzNyBYDj1GEBEDj,460,105724.8214399428622002,105724.8214399428622002,0E-16,0,0,0.0,False,0E-26,1484.44855945448621360351301487,1484.44855945448621360351301487
24,5DRejNyGhTZzYtnee4hzutcRhdR417D11S2wHrj1wutiysFQ,680,105652.78839370199995086,105652.78839370199995086,0E-17,0,0,0.01,False,21.9440221832402316496785729702,2172.45819614078288763800619770,2194.40221832402311928768477067
24,5GRanLwsh7rCNuFFJoS28vC23QpwzjD3rmU1yBUoe3UMnUZx,600,105051.94293382262827434,105051.94293382262827434,0E-17,0,0,0.01,False,19.3623725146237331010438772973,1916.87487894774953669730927036,1936.23725146237326979835314766
24,5CwTYYLYshoiXaG4gk11R5t4MtJtbWqks6Gost8vRgV1g96i,600,105035.02396621894403148,100035.0228253511624055,5000.00114086778162598,1,1,0.02,False,38.7247450292474662020877545946,1807.18487724128713141080571872,1845.90962227053459761289347331
24,5H6c2xkW1e5Hfvj6p1xLePuSXmU7AGoDT6rjvY2ctpVzEhg3,620,104236.02378390886564446,104236.02378390886564446,0E-17,0,0,0.01,False,20.0077849317778571368309171907,1980.77070824600781489669173374,2000.77849317778567203352265093
24,5CMYNYi5JqzD1FKsLHxzbnwDwo6mdwcbxBSKzHH4cCFEhVkm,620,104208.50616149563002102,104208.50616149563002102,0E-17,0,0,0.05,False,100.038924658889289154952008299,1900.73956851889638287857064263,2000.77849317778567203352265093
24,5GHoLpL11hEmMwnxsBjnKkRwAGQZrKMxZipMaCpjQLLn6sj4,760,103438.223601871863873,103438.223601871863873,0E-15,0,0,0.01,False,24.5256718518567277928267325435,2428.04151333381600043553605119,2452.56718518567272822836278373
24,5EcfHk5uUciYxc82ek38myfc3yfdA71US2UChqP56GYiBvDo,600,103030.02350873158475808,103030.02350873158475808,0E-17,0,0,0.1,False,193.623725146237337728111203318,1742.61352631613593207024194434,1936.23725146237326979835314766
24,5EPFy9BuNHMEKZkxCqdogXzYukMhN5QVnCCBr4YHKrMK32p6,720,102942.70454890834176888,102942.70454890834176888,0E-17,0,0,0.01,False,23.2348470175484797212526527569,2300.24985473729944403677112444,2323.48470175484792375802377720
